PolymerType,Size_cm,Size_um
PE,0.07486,748.6
PE,0.01061,106.1
PE,0.00993,99.3
PE,0.00455,45.5
PE,0.04382,438.2
PE,0.01559,155.9
PE,0.01089,108.9
PE,0.0159,159
PE,0.01192,119.2
PE,0.05805,580.5
PE,0.00832,83.2
PE,0.00778,77.8
PE,0.01923,192.3
PE,0.0268,268
PE,0.0317,317
PE,0.02676,267.6
PE,0.01924,192.4
PE,0.02555,255.5
PE,0.03132,313.2
PE,0.02474,247.4
PE,0.00982,98.2
PE,0.04966,496.6
PE,0.03633,363.3
PE,0.01478,147.8
PE,0.0067,67
PE,0.02222,222.2
PE,0.01803,180.3
PE,0.03715,371.5
PE,0.03168,316.8
PE,0.02193,219.3
PE,0.02622,262.2
PE,0.0091,91
PE,0.00582,58.2
PE,0.0098,98
PE,0.02071,207.1
PE,0.01196,119.6
PE,0.0066,66
PE,0.01322,132.2
PE,0.01208,120.8
PE,0.01798,179.8
PE,0.01522,152.2
PE,0.02061,206.1
PE,0.00783,78.3
PE,0.0294,294
PE,0.01923,192.3
PE,0.00234,23.4
PE,0.01258,125.8
PE,0.03634,363.4
PE,0.02294,229.4
PE,0.07444,744.4
PE,0.00342,34.2
PE,0.02861,286.1
PE,0.0064,64
PE,0.01787,178.7
PE,0.01259,125.9
PE,0.00899,89.9
PE,0.00643,64.3
PE,0.00603,60.3
PE,0.03006,300.6
PE,0.01796,179.6
PE,0.00651,65.1
PE,0.01339,133.9
PE,0.01744,174.4
PE,0.03876,387.6
PE,0.06482,648.2
PE,0.01576,157.6
PE,0.02672,267.2
PE,0.01336,133.6
PE,0.02369,236.9
PE,0.04193,419.3
PE,0.03764,376.4
PE,0.00376,37.6
PE,0.02387,238.7
PE,0.01527,152.7
PE,0.01095,109.5
PE,0.05506,550.6
PE,0.01722,172.2
PE,0.02419,241.9
PE,0.01122,112.2
PE,0.0078,78
PE,0.0069,69
PE,0.04571,457.1
PE,0.03218,321.8
PE,0.00501,50.1
PE,0.01552,155.2
PE,0.00372,37.2
PE,0.05331,533.1
PE,0.0055,55
PE,0.00509,50.9
PE,0.05201,520.1
PE,0.02877,287.7
PE,0.01193,119.3
PE,0.02424,242.4
PE,0.01404,140.4
PE,0.05787,578.7
PE,0.01558,155.8
PE,0.02881,288.1
PE,0.03776,377.6
PE,0.00829,82.9
PE,0.00678,67.8
PE,0.00336,33.6
PE,0.0049,49
PE,0.00445,44.5
PE,0.00214,21.4
PE,0.00426,42.6
PE,0.00313,31.3
PE,0.00142,14.2
PE,0.02436,243.6
PE,0.02426,242.6
PE,0.00838,83.8
PE,0.01243,124.3
PE,0.02775,277.5
PE,0.02575,257.5
PE,0.03324,332.4
PE,0.02094,209.4
PE,0.00753,75.3
PE,0.0162,162
PE,0.03254,325.4
PE,0.03266,326.6
PE,0.00486,48.6
PE,0.01561,156.1
PE,0.01571,157.1
PE,0.02837,283.7
PE,0.03234,323.4
PE,0.02534,253.4
PE,0.04448,444.8
PE,0.05975,597.5
PE,0.00978,97.8
PE,0.01303,130.3
PE,0.01105,110.5
PE,0.01502,150.2
PE,0.0183,183
PE,0.00251,25.1
PE,0.01303,130.3
PE,0.03278,327.8
PE,0.00352,35.2
PE,0.02821,282.1
PE,0.00534,53.4
PE,0.03065,306.5
PE,0.01294,129.4
PE,0.01661,166.1
PE,0.09391,939.1
PE,0.01418,141.8
PE,0.01515,151.5
PE,0.02996,299.6
PE,0.01895,189.5
PE,0.01015,101.5
PE,0.02385,238.5
PE,0.02445,244.5
PE,0.00939,93.9
PE,0.0153,153
PE,0.00286,28.6
PE,0.02496,249.6
PE,0.01855,185.5
PE,0.02833,283.3
PE,0.00497,49.7
PE,0.01157,115.7
PE,0.02268,226.8
PE,0.01804,180.4
PE,0.01955,195.5
PE,0.01717,171.7
PE,0.00622,62.2
PE,0.01214,121.4
PE,0.0116,116
PE,0.03565,356.5
PE,0.0125,125
PE,0.01574,157.4
PE,0.01634,163.4
PE,0.02528,252.8
PE,0.00505,50.5
PE,0.01382,138.2
PE,0.02889,288.9
PE,0.06506,650.6
PE,0.01805,180.5
PE,0.01796,179.6
PE,0.00443,44.3
PE,0.02219,221.9
PE,0.03706,370.6
PE,0.02123,212.3
PE,0.02719,271.9
PE,0.00836,83.6
PE,0.01357,135.7
PE,0.0201,201
PE,0.0108,108
PE,0.00598,59.8
PE,0.02688,268.8
PE,0.01536,153.6
PE,0.02204,220.4
PE,0.02083,208.3
PE,0.01384,138.4
PE,0.02129,212.9
PE,0.04844,484.4
PE,0.01026,102.6
PE,0.00465,46.5
PE,0.01966,196.6
PE,0.01778,177.8
PE,0.04041,404.1
PE,0.0086,86
PE,0.01024,102.4
PE,0.01078,107.8
PE,0.00923,92.3
PE,0.01144,114.4
PE,0.00994,99.4
PE,0.01066,106.6
PE,0.01215,121.5
PE,0.00382,38.2
PE,0.01633,163.3
PE,0.00778,77.8
PE,0.01161,116.1
PE,0.00634,63.4
PE,0.01212,121.2
PE,0.00905,90.5
PE,0.0186,186
PE,0.01187,118.7
PE,0.0257,257
PE,0.01853,185.3
PE,0.01256,125.6
PE,0.02645,264.5
PE,0.05764,576.4
PE,0.02833,283.3
PE,0.06508,650.8
PE,0.03743,374.3
PE,0.0152,152
PE,0.0179,179
PE,0.03333,333.3
PE,0.02862,286.2
PE,0.00173,17.3
PE,0.02682,268.2
PE,0.07064,706.4
PE,0.00919,91.9
PE,0.02646,264.6
PE,0.02708,270.8
PE,0.02728,272.8
PE,0.01321,132.1
PE,0.0234,234
PE,0.06026,602.6
PE,0.03826,382.6
PE,0.02998,299.8
PE,0.02188,218.8
PE,0.02285,228.5
PE,0.01193,119.3
PE,0.00599,59.9
PE,0.00921,92.1
PE,0.02119,211.9
PE,0.02727,272.7
PE,0.02597,259.7
PE,0.00517,51.7
PE,0.00518,51.8
PE,0.05062,506.2
PE,0.03155,315.5
PE,0.02408,240.8
PE,0.00776,77.6
PE,0.02791,279.1
PE,0.00292,29.2
PE,0.0134,134
PE,0.03334,333.4
PE,0.01656,165.6
PE,0.01055,105.5
PE,0.00719,71.9
PE,0.00685,68.5
PE,0.01043,104.3
PE,0.02653,265.3
PE,0.02238,223.8
PE,0.00191,19.1
PE,0.01314,131.4
PE,0.00932,93.2
PE,0.02343,234.3
PE,0.03352,335.2
PE,0.02207,220.7
PE,0.03164,316.4
PE,0.02813,281.3
PE,0.0243,243
PE,0.02582,258.2
PE,0.00982,98.2
PE,0.05428,542.8
PE,0.00874,87.4
PE,0.01788,178.8
PE,0.0066,66
PE,0.00628,62.8
PE,0.00925,92.5
PE,0.01121,112.1
PE,0.00888,88.8
PE,0.02568,256.8
PE,0.05183,518.3
PE,0.02772,277.2
PE,0.01239,123.9
PE,0.02266,226.6
PE,0.00185,18.5
PE,0.00151,15.1
PE,0.01475,147.5
PE,0.01751,175.1
PE,0.00924,92.4
PE,0.03835,383.5
PE,0.05589,558.9
PE,0.00973,97.3
PE,0.00175,17.5
PE,0.00363,36.3
PE,0.03187,318.7
PE,0.04081,408.1
PE,0.0244,244
PE,0.0462,462
PE,0.01021,102.1
PE,0.01952,195.2
PE,0.00937,93.7
PE,0.00989,98.9
PE,0.00716,71.6
PE,0.01441,144.1
PE,0.00664,66.4
PE,0.03352,335.2
PE,0.01012,101.2
PE,0.04067,406.7
PE,0.03133,313.3
PE,0.05686,568.6
PE,0.05199,519.9
PE,0.00705,70.5
PE,0.01753,175.3
PE,0.00809,80.9
PE,0.03504,350.4
PE,0.01529,152.9
PE,0.00416,41.6
PE,0.03373,337.3
PE,0.00659,65.9
PE,0.00556,55.6
PE,0.02426,242.6
PE,0.02552,255.2
PE,0.01768,176.8
PE,0.01129,112.9
PE,0.0151,151
PE,0.00886,88.6
PE,0.01168,116.8
PE,0.00286,28.6
PE,0.02854,285.4
PE,0.02061,206.1
PE,0.03772,377.2
PE,0.0027,27
PE,0.00502,50.2
PE,0.00502,50.2
PE,0.00703,70.3
PE,0.02301,230.1
PE,0.00762,76.2
PE,0.00725,72.5
PE,0.04069,406.9
PE,0.00258,25.8
PE,0.03556,355.6
PE,0.03202,320.2
PE,0.00723,72.3
PE,0.00814,81.4
PE,0.02013,201.3
PE,0.03194,319.4
PE,0.02008,200.8
PE,0.02288,228.8
PE,0.00935,93.5
PE,0.00216,21.6
PE,0.01717,171.7
PE,0.0462,462
PE,0.07074,707.4
PE,0.00543,54.3
PE,0.01101,110.1
PE,0.01541,154.1
PE,0.00518,51.8
PE,0.03823,382.3
PE,0.01341,134.1
PE,0.02834,283.4
PE,0.00429,42.9
PE,0.00277,27.7
PE,0.0278,278
PE,0.01789,178.9
PE,0.07821,782.1
PE,0.02142,214.2
PE,0.02716,271.6
PE,0.03001,300.1
PE,0.01921,192.1
PE,0.02134,213.4
PE,0.02008,200.8
PE,0.01157,115.7
PE,0.00836,83.6
PE,0.01452,145.2
PE,0.00274,27.4
PE,0.00177,17.7
PE,0.00128,12.8
PE,0.0236,236
PE,0.01516,151.6
PE,0.03351,335.1
PE,0.01959,195.9
PE,0.03659,365.9
PE,0.01562,156.2
PE,0.00163,16.3
PE,0.01453,145.3
PE,0.01325,132.5
PE,0.00938,93.8
PE,0.03933,393.3
PE,0.01747,174.7
PE,0.00511,51.1
PE,0.04497,449.7
PE,0.01616,161.6
PE,0.01086,108.6
PE,0.0048,48
PE,0.01258,125.8
PE,0.02546,254.6
PE,0.07053,705.3
PE,0.00518,51.8
PE,0.01345,134.5
PE,0.01315,131.5
PE,0.01,100
PE,0.01664,166.4
PE,0.02423,242.3
PE,0.00335,33.5
PE,0.01981,198.1
PE,0.00313,31.3
PE,0.01399,139.9
PE,0.01252,125.2
PE,0.0358,358
PE,0.01304,130.4
PE,0.02834,283.4
PE,0.03484,348.4
PE,0.01639,163.9
PE,0.0046,46
PE,0.01123,112.3
PE,0.01259,125.9
PE,0.01789,178.9
PE,0.00277,27.7
PE,0.01929,192.9
PE,0.0235,235
PE,0.00326,32.6
PE,0.01372,137.2
PE,0.00246,24.6
PE,0.00295,29.5
PE,0.00319,31.9
PE,0.00784,78.4
PE,0.02116,211.6
PE,0.00467,46.7
PE,0.03261,326.1
PE,0.02946,294.6
PE,0.01235,123.5
PE,0.00262,26.2
PE,0.00286,28.6
PE,0.06597,659.7
PE,0.01896,189.6
PE,0.0048,48
PE,0.00121,12.1
PE,0.00102,10.2
PE,0.00057,5.7
PE,0.01359,135.9
PE,0.02264,226.4
PE,0.02779,277.9
PE,0.00124,12.4
PE,0.00111,11.1
PE,0.00512,51.2
PE,0.00192,19.2
PE,0.00964,96.4
PE,0.03648,364.8
PE,0.02409,240.9
PE,0.03328,332.8
PE,0.00985,98.5
PE,0.00384,38.4
PE,0.01349,134.9
PE,0.02119,211.9
PE,0.00258,25.8
PE,0.00574,57.4
PE,0.02267,226.7
PE,0.00476,47.6
PE,0.01595,159.5
PE,0.01907,190.7
PE,0.0244,244
PE,0.06975,697.5
PE,0.01599,159.9
PE,0.01456,145.6
PE,0.00387,38.7
PE,0.01507,150.7
PE,0.00716,71.6
PE,0.00463,46.3
PE,0.00666,66.6
PE,0.04001,400.1
PE,0.06074,607.4
PE,0.01171,117.1
PE,0.01986,198.6
PE,0.0178,178
PE,0.01572,157.2
PE,0.01491,149.1
PE,0.01143,114.3
PE,0.02601,260.1
PE,0.01664,166.4
PE,0.00308,30.8
PE,0.01576,157.6
PE,0.00381,38.1
PE,0.01065,106.5
PE,0.01507,150.7
PE,0.01243,124.3
PE,0.02686,268.6
PE,0.00254,25.4
PE,0.00229,22.9
PE,0.00427,42.7
PE,0.02095,209.5
PE,0.01722,172.2
PE,0.01731,173.1
PE,0.0045,45
PE,0.0109,109
PE,0.00171,17.1
PE,0.00137,13.7
PE,0.02822,282.2
PE,0.02797,279.7
PE,0.00959,95.9
PE,0.04841,484.1
PE,0.0149,149
PE,0.02364,236.4
PE,0.03977,397.7
PE,0.01344,134.4
PE,0.02203,220.3
PE,0.00142,14.2
PE,0.01572,157.2
PE,0.00156,15.6
PE,0.00102,10.2
PE,0.02327,232.7
PE,0.02223,222.3
PE,0.02514,251.4
PE,0.00501,50.1
PE,0.02865,286.5
PE,0.04324,432.4
PE,0.03083,308.3
PE,0.01912,191.2
PE,0.06271,627.1
PE,0.00564,56.4
PE,0.04628,462.8
PE,0.02332,233.2
PE,0.00873,87.3
PE,0.01502,150.2
PE,0.01902,190.2
PE,0.02655,265.5
PE,0.0058,58
PE,0.02898,289.8
PE,0.00343,34.3
PE,0.00894,89.4
PE,0.00682,68.2
PE,0.01568,156.8
PE,0.02185,218.5
PE,0.0261,261
PE,0.00458,45.8
PE,0.01406,140.6
PE,0.01246,124.6
PE,0.02203,220.3
PE,0.01883,188.3
PE,0.03525,352.5
PE,0.02703,270.3
PE,0.03909,390.9
PE,0.02288,228.8
PE,0.00391,39.1
